"SERIALNUMBER","CUSTOMERID","MODELTYPE","PAINTID","FRAMESIZE","ORDERDATE","STARTDATE","SHIPDATE","SHIPEMPLOYEE","FRAMEASSEMBLER","PAINTER","CONSTRUCTION","WATERBOTTLEBRAZEONS","CUSTOMNAME","LETTERSTYLEID","STOREID","EMPLOYEEID","TOPTUBE","CHAINSTAY","HEADTUBEANGLE","SEATTUBEANGLE","LISTPRICE","SALEPRICE","SALESTAX","SALESTATE","SHIPPRICE","FRAMEPRICE","COMPONENTLIST"
4178,4060,"Race",7,58,07-SEP-96,13-SEP-96,15-SEP-96,51512,51512,89097,"TIG Welded",2,"Harry Herndon","English",2,34192,57,41.2,73.7,73,1994.32,1990,144.28,"CA",70,310.8,1296
4179,4061,"Race",10,54,03-DEC-96,04-DEC-96,06-DEC-96,87295,76432,89097,"TIG Welded",2,"Arianne Morris","Flash",2,89097,54.5,41,73,74,2569.99,2560,185.6,"CA",70,784.8,1441
4180,4062,"Race",7,56,17-MAY-96,23-MAY-96,29-MAY-96,29387,37453,51512,"Bonded",2,"Kevin Adams","Block",2,29387,56,41,73.7,73.5,2033.71,2030,126.88,"IL",70,353.15,1296
4181,4063,"Road",3,56,06-SEP-96,19-SEP-96,24-SEP-96,87295,51512,93736,"Bonded",2,"Vern Morrison","Flash",1,98766,55,41.5,73.5,73.5,3063.69,3060,191.25,"TX",70,382.66,2374
4182,4064,"Race",3,60,30-JAN-96,08-FEB-96,10-FEB-96,51512,76432,29387,"Bonded",2,"Arianne Anderson","Flash",2,29387,58,41.2,74,73,2187.11,2180,130.8,"FL",70,373.1,1441
4183,4065,"Race",5,58,09-SEP-96,17-SEP-96,22-SEP-96,51512,15293,89097,"TIG Welded",2,"Debbie Embry","Block",1,34192,57,41.2,73.7,73,2437.52,2430,145.8,"FL",70,787.36,1296
4184,4066,"Race",3,52,29-FEB-96,08-MAR-96,10-MAR-96,87295,51512,51512,"Bonded",2,"Angela Murphy","English",2,87295,52.7,40.7,72.5,75,3018.67,3010,207.69,"KS",70,334.25,2374
4185,4067,"Mountain",6,16.5,28-MAY-96,04-JUN-96,08-JUN-96,15293,87295,29387,"TIG Welded",2,"Francis Parker","Roman",2,34192,58.2,42.3,70.5,73,1889.33,1880,131.6,"MS",70,473.9,1020
4186,4068,"Tour",9,58,24-MAR-96,08-APR-96,23-APR-96,51512,51512,29387,"TIG Welded",2,"Vivian Hester","Roman",1,34192,56.6,41.5,73.5,73,1974.79,1970,78.8,"LA",70,289.8,1296
4187,4069,"Road",8,52,16-SEP-96,30-SEP-96,10-OCT-96,15293,37453,51512,"TIG Welded",2,"Mildred Vincent","Block",2,87295,53,41.5,73,73.5,2934.93,2930,249.05,"NY",70,303.2,2315
4188,4070,"Road",9,54,24-SEP-96,27-SEP-96,08-OCT-96,89097,51512,87295,"TIG Welded",2,"Malcolm Richmond","Flash",4219,34192,55,41.5,73.5,73.5,2398.3,2390,149.38,"IL",70,745.18,1296
4189,4071,"Road",3,52,14-JUL-96,15-JUL-96,29-JUL-96,51512,51512,51512,"Welded",2,"Lynn Fowler","Roman",2676,34192,53,41.5,73,73.5,1881.51,1880,94,"MI",70,189.5,1296
4190,4072,"Tour",4,52,15-JAN-96,25-JAN-96,27-JAN-96,15293,51512,93736,"TIG Welded",2,"Emma Monroe","Block",2,29387,53,41.5,72.5,75,2062.87,2060,82.4,"AL",70,239.5,1441
4191,4073,"Road",7,58,28-NOV-96,13-DEC-96,21-DEC-96,29387,37453,15293,"Bonded",2,"Ada Logan","English",2,51512,57,41.5,73.5,73.5,2227.01,2220,144.3,"WA",70,416,1441
4192,4074,"Road",10,60,28-MAY-96,28-MAY-96,02-JUN-96,15293,87295,93736,"TIG Welded",2,"Hugh Hunton","Block",1,46583,57,41.5,73.5,73.5,1983.26,1980,59.4,"CO",70,298.9,1296
4193,4075,"Road",9,54,16-FEB-96,18-FEB-96,02-MAR-96,89097,15293,93736,"Bonded",2,"Allen Hatcher","Flash",1,89097,55,41.5,73.5,73.5,2206.81,2200,159.5,"CA",70,539.28,1296
4194,4076,"Race",1,56,02-JUN-96,11-JUN-96,20-JUN-96,15293,51512,93736,"Bonded",2,"James Dalton","English",2,98766,56,41,73.7,73.5,3009.53,3000,150,"OH",70,383.42,2315
4195,4077,"Tour",9,60,12-APR-96,20-APR-96,22-APR-96,51512,87295,87295,"Bonded",2,"Ricardo Galloway","English",2,34192,57.5,41.5,74,73,2236.31,2230,161.68,"CA",70,426,1441
4196,4078,"Race",10,62,21-DEC-96,26-DEC-96,28-DEC-96,29387,87295,93736,"Bonded",2,"Tina Lewis","English",2,89097,59,41.2,74,72.5,2111.5,2110,105.5,"OH",70,436.8,1296
4197,4079,"Road",12,54,27-JAN-96,06-FEB-96,08-FEB-96,15293,37453,89097,"TIG Welded",2,"Garlan McCartney","Roman",2,34192,55,41.5,73.5,73.5,1960.6,1960,142.1,"CA",70,274.54,1296
4198,4080,"Mountain",2,18,23-APR-96,26-APR-96,04-MAY-96,29387,29387,87295,"TIG Welded",2,"Mark Ball","English",2,34192,59.2,42.3,71,73,2379.34,2370,142.2,"NC",70,486.8,1534
4199,4081,"Road",7,62,26-NOV-96,27-NOV-96,05-DEC-96,51512,89097,87295,"TIG Welded",2,"Sheila Hopkins","Script",2,98766,58.5,41.5,74,73.5,2011.9,2010,120.6,"FL",70,329.7,1296
4200,4082,"Road",5,54,03-AUG-96,16-AUG-96,18-AUG-96,29387,37453,93736,"TIG Welded",2,"Rhonda Drake","Block",2,46583,55,41.5,73.5,73.5,1997.08,1990,119.4,"NJ",70,313.76,1296
4201,4083,"Tour",10,52,26-AUG-96,26-AUG-96,10-SEP-96,87295,76432,12512,"TIG Welded",2,"Gayle Stone","Block",2480,89097,53,41.5,72.5,75,1972.56,1970,0,"PA",70,287.4,1296
4202,4084,"Road",2,60,24-OCT-96,29-OCT-96,05-NOV-96,51512,87295,29387,"TIG Welded",2,"Robin London","Block",2,46583,57,41.5,73.5,73.5,2634.35,2630,164.38,"TX",70,854,1441
4203,4085,"Road",5,56,25-NOV-96,27-NOV-96,11-DEC-96,29387,51512,51512,"Welded",2,"Carla Clark","English",2805,87295,55,41.5,73.5,73.5,1892.58,1890,113.4,"FL",70,201.4,1296
4204,4086,"Road",9,50,03-AUG-96,12-AUG-96,14-AUG-96,89097,87295,89097,"TIG Welded",2,"Gordon Sharp","Block",2,51512,53,41.5,73,73.5,1919.41,1910,95.5,"AZ",70,230.25,1296
4205,4087,"Race",11,58,17-NOV-96,20-NOV-96,02-DEC-96,87295,37453,93736,"Bonded",2,"Ruby North","Flash",2,51512,57,41.2,73.7,73,2235.19,2230,161.68,"CA",70,569.8,1296
4206,4088,"Mountain",11,18,24-JAN-96,26-JAN-96,02-FEB-96,29387,89097,87295,"TIG Welded",2,"Elmer Mason","Flash",2,34192,59.2,42.3,71,73,2056.77,2050,123,"NJ",70,139.95,1534
4207,4089,"Race",10,56,18-FEB-96,18-FEB-96,21-FEB-96,15293,15293,51512,"Bonded",2,"April Freeman","Block",1,89097,56,41,73.7,73.5,3083.17,3080,0,"PA",70,403.6,2374
4208,4090,"Road",7,58,29-APR-96,14-MAY-96,30-MAY-96,87295,87295,87295,"TIG Welded",2,"Jody Osborne","Script",2,34192,57,41.5,73.5,73.5,2997.98,2990,209.3,"RI",70,312,2374
4209,4091,"Mountain",7,18,04-NOV-96,05-NOV-96,18-NOV-96,87295,76432,12512,"Welded",2,"Ed Phillips","Roman",2,98766,59.2,42.3,71,73,1561.78,1560,93.6,"NC",70,121.7,1020
4210,4092,"Race",8,50,06-SEP-96,13-SEP-96,23-SEP-96,15293,51512,29387,"Bonded",2,"Inez Groce","Roman",2,46583,53.1,40.7,72,75,2051.24,2050,102.5,"SC",70,372,1296
4211,4093,"Mountain",3,19.5,21-SEP-96,24-SEP-96,06-OCT-96,29387,37453,29387,"TIG Welded",2,"Elaine Cox","Roman",2,87295,59.3,42.3,71,73,1592.78,1590,95.4,"FL",70,155.03,1020
4212,4094,"Road",7,54,17-AUG-96,29-AUG-96,03-SEP-96,29387,89097,89097,"Bonded",2,"Louis McCain","English",2,34192,55,41.5,73.5,73.5,2206.81,2200,110,"MA",70,539.28,1296
4213,4095,"Road",6,52,12-NOV-96,25-NOV-96,08-DEC-96,51512,29387,15293,"TIG Welded",2,"Jessica Smith","Script",2,46583,53,41.5,73,73.5,2910.49,2910,145.5,"OH",70,217.93,2374
4214,4096,"Tour",1,50,23-JAN-96,27-JAN-96,29-JAN-96,87295,76432,15293,"TIG Welded",2,"Lorene Neal","Script",2,15293,52.2,41.5,72.5,75,2496.75,2490,124.5,"MA",70,706.04,1441
4215,4097,"Mountain",2,19.5,02-DEC-96,03-DEC-96,12-DEC-96,89097,15293,15293,"Bonded",2,"Brad Wade","English",2,89097,59.3,42.3,71,73,1650.45,1650,119.63,"CA",70,217.04,1020
4216,4098,"Tour",12,52,02-SEP-96,16-SEP-96,27-SEP-96,29387,29387,15293,"TIG Welded",2,"Archie Eaton","Roman",1,34192,53,41.5,72.5,75,2107.41,2100,84,"LA",70,287.4,1441
4217,4099,"Race",10,58,13-OCT-96,19-OCT-96,02-NOV-96,87295,51512,29387,"Bonded",2,"Ed O'Connor","Flash",3027,46583,57,41.2,73.7,73,3093.21,3090,123.6,"LA",70,414.4,2374
4218,4100,"Tour",2,52,11-DEC-96,22-DEC-96,05-JAN-97,29387,87295,93736,"Bonded",2,"Sean Riley","Block",4473,89097,53,41.5,72.5,75,2195.3,2190,153.3,"RI",70,526.9,1296
4219,4101,"Road",9,54,06-FEB-96,09-FEB-96,13-FEB-96,89097,87295,12512,"TIG Welded",2,"Chad Dean","English",1,15293,55,41.5,73.5,73.5,1915.01,1910,138.48,"CA",70,225.52,1296
4220,4102,"Mountain",5,14.5,05-JAN-96,15-JAN-96,17-JAN-96,51512,87295,15293,"TIG Welded",2,"Dorothy Daniel","Flash",2,15293,53.7,42.3,70.5,73.5,1593.87,1590,135.15,"NY",70,156.2,1020
4221,4103,"Mountain",1,19.5,24-JAN-96,30-JAN-96,12-FEB-96,51512,76432,12512,"TIG Welded",2,"Sidney Mitchell","English",2,29387,59.3,42.3,71,73,1621.62,1620,137.7,"NY",70,186.04,1020
4222,4104,"Road",7,60,05-MAY-96,12-MAY-96,21-MAY-96,51512,29387,93736,"TIG Welded",2,"Angela Gamble","Flash",2,46583,57,41.5,73.5,73.5,3005.65,3000,126.75,"MO",70,320.25,2374
4223,4105,"Road",7,50,24-OCT-96,07-NOV-96,23-NOV-96,87295,89097,29387,"TIG Welded",2,"Dawn Shannon","Roman",2,98766,53,41.5,73,73.5,1919.41,1910,114.6,"NJ",70,230.25,1296
4224,4106,"Mountain",9,16.5,08-NOV-96,11-NOV-96,24-NOV-96,89097,76432,89097,"Welded",2,"Gilbert Kirby","Flash",4170,46583,58.2,42.3,70.5,73,1558.79,1550,77.5,"NM",70,118.48,1020
4225,4107,"Road",5,56,10-DEC-96,24-DEC-96,27-DEC-96,51512,37453,51512,"TIG Welded",2,"Seth Phillips","Flash",2,98766,55,41.5,73.5,73.5,1986.23,1980,168.3,"NY",70,302.1,1296
4226,4108,"Road",3,52,21-APR-96,04-MAY-96,08-MAY-96,29387,29387,87295,"TIG Welded",2,"Trina Farmer","English",2,15293,53,41.5,73,73.5,2122.11,2120,127.2,"FL",70,303.2,1441
4227,4109,"Race",5,52,02-FEB-96,13-FEB-96,23-FEB-96,15293,76432,15293,"TIG Welded",2,"Emmitt McCain","Flash",2,87295,52.7,40.7,72.5,75,2937.16,2930,249.05,"NY",70,305.6,2315
4228,4110,"Mountain",9,19.5,14-JAN-96,22-JAN-96,25-JAN-96,51512,51512,87295,"TIG Welded",2,"Rodney Payne","Block",2,46583,59.3,42.3,71,73,1621.62,1620,68.45,"MO",70,186.04,1020
4229,4111,"Tour",1,58,05-FEB-96,05-FEB-96,19-FEB-96,89097,87295,29387,"TIG Welded",2,"Marion Petty","Block",2,51512,56.6,41.5,73.5,73,2013.3,2010,120.6,"TN",70,331.2,1296
4230,4112,"Road",11,50,08-MAY-96,11-MAY-96,17-MAY-96,51512,37453,29387,"TIG Welded",2,"Dan Rush","Roman",2,89097,53,41.5,73,73.5,2964.78,2960,125.06,"MO",70,276.3,2374
4231,4113,"Tour",4,54,29-NOV-96,12-DEC-96,18-DEC-96,51512,76432,51512,"TIG Welded",2,"Eric Garner","Script",2,34192,54,41.5,73,74,2113.69,2110,105.5,"AZ",70,294.15,1441
4232,4114,"Road",12,54,29-NOV-96,04-DEC-96,14-DEC-96,15293,15293,15293,"Bonded",2,"Kelly Childress","Flash",2,29387,55,41.5,73.5,73.5,3054.33,3050,183,"NJ",70,372.59,2374
4233,4115,"Tour",10,58,11-JUN-96,16-JUN-96,23-JUN-96,51512,29387,89097,"TIG Welded",2,"Leon Roberts","Roman",1,29387,56.6,41.5,73.5,73,2610.17,2610,163.13,"TX",70,828,1441
4234,4116,"Road",12,50,27-AUG-96,28-AUG-96,04-SEP-96,87295,76432,12512,"TIG Welded",2,"Ruth Pickett","Flash",2,29387,53,41.5,73,73.5,2037.13,2030,0,"",70,211.83,1441
4235,4117,"Race",2,60,22-MAR-96,01-APR-96,13-APR-96,87295,29387,89097,"TIG Welded",2,"Golda Mason","Roman",3186,46583,58,41.2,74,73,2633.23,2630,131.5,"SC",70,852.8,1441
4236,4118,"Mountain",11,21,11-JAN-96,17-JAN-96,21-JAN-96,89097,76432,15293,"TIG Welded",2,"Regina McDougal","Block",2,87295,59.8,42.4,71,73,1584.37,1580,114.55,"CA",70,145.99,1020
4237,4119,"Road",11,50,19-JUL-96,26-JUL-96,03-AUG-96,15293,29387,15293,"TIG Welded",2,"Agnes Garrett","English",2,46583,53,41.5,73,73.5,2356.24,2350,170.38,"CA",70,699.96,1296
4238,4120,"Race",1,52,19-JAN-96,24-JAN-96,30-JAN-96,15293,51512,15293,"TIG Welded",2,"Joan Wood","English",2,46583,52.7,40.7,72.5,75,2937.16,2930,123.79,"MO",70,305.6,2315
4239,4121,"Race",9,52,20-APR-96,28-APR-96,12-MAY-96,89097,29387,12512,"Bonded",2,"Vicky Rhodes","Script",2,98766,52.7,40.7,72.5,75,2016.13,2010,140.7,"RI",70,334.25,1296
4240,4122,"Race",8,50,11-AUG-96,26-AUG-96,01-SEP-96,87295,37453,93736,"TIG Welded",2,"Dean Lawson","Roman",2,15293,53.1,40.7,72,75,1904.21,1900,118.75,"TX",70,213.9,1296
4241,4123,"Mountain",5,19.5,08-MAR-96,08-MAR-96,21-MAR-96,87295,37453,29387,"Welded",2,"Lucille Logan","English",2,87295,59.3,42.3,71,73,1563.95,1560,70.2,"VA",70,124.03,1020
4242,4124,"Race",8,52,18-APR-96,22-APR-96,01-MAY-96,87295,51512,87295,"TIG Welded",2,"Bryce Ervin","English",2,46583,52.7,40.7,72.5,75,2937.16,2930,175.8,"CT",70,305.6,2315
4243,4125,"Race",11,60,11-OCT-96,13-OCT-96,27-OCT-96,51512,87295,89097,"TIG Welded",2,"Brad Jones","Roman",1,98766,58,41.2,74,73,2593.58,2590,155.4,"WV",70,810.16,1441
4244,4126,"Mountain",3,18,24-MAR-96,29-MAR-96,10-APR-96,51512,15293,29387,"TIG Welded",2,"Alvin Riggs","Flash",2,87295,59.2,42.3,71,73,1901.32,1900,0,"PA",70,486.8,1020
4245,4127,"Tour",6,50,14-AUG-96,19-AUG-96,28-AUG-96,89097,29387,29387,"TIG Welded",2,"Belinda Pearson","English",2,51512,52.2,41.5,72.5,75,2396.46,2390,0,"PA",70,743.2,1296
4246,4128,"Race",2,56,12-MAY-96,13-MAY-96,28-MAY-96,89097,76432,51512,"TIG Welded",2,"Richard Ray","Roman",2,87295,56,41,73.7,73.5,1986.79,1980,143.55,"CA",70,302.7,1296
4247,4129,"Road",8,50,04-APR-96,09-APR-96,11-APR-96,29387,76432,51512,"Bonded",2,"Sally Pickett","Script",2,89097,53,41.5,73,73.5,2176.37,2170,108.5,"IN",70,506.55,1296
4248,4130,"Road",7,50,11-JUN-96,20-JUN-96,04-JUL-96,29387,37453,87295,"TIG Welded",2,"Bruce Hopkins","English",1,87295,53,41.5,73,73.5,1902.28,1900,85.5,"VA",70,211.83,1296
4249,4131,"Road",7,52,15-JAN-96,26-JAN-96,03-FEB-96,29387,51512,87295,"Bonded",2,"Julian Fugate","Block",2,46583,53,41.5,73,73.5,2324.78,2320,145,"IL",70,521.13,1441
4250,4132,"Tour",8,54,26-MAR-96,05-APR-96,18-APR-96,29387,29387,29387,"TIG Welded",2,"Orville Harvey","Flash",2,29387,54,41.5,73,74,2398.3,2390,173.28,"CA",70,745.18,1296
4251,4133,"Race",7,58,18-APR-96,01-MAY-96,03-MAY-96,51512,87295,87295,"TIG Welded",2,"Dawn Mann","English",1943,29387,57,41.2,73.7,73,3016.13,3010,207.69,"KS",70,331.52,2374
4252,2220,"Road",11,50,30-JUL-97,09-AUG-97,13-AUG-97,89097,29387,12512,"TIG Welded",2,"Dale Hall","Flash",2,34192,53,41.5,73,73.5,3878.36,3870,280.58,"CA",70,699.96,2580
4253,1328,"Mountain",9,19.5,08-DEC-97,12-DEC-97,26-DEC-97,87295,37453,87295,"Bonded",2,"Andy Pitts","Roman",2,51512,59.3,42.3,71,73,2367.43,2360,94.4,"GA",70,217.04,1596
4254,2182,"Mountain full",8,18,05-AUG-97,12-AUG-97,27-AUG-97,87295,87295,89097,"TIG Welded",2,"Simon Runner","English",2,87295,59.2,42.3,71,73,2977.62,2970,89.1,"CO",70,462.46,1943
4255,164,"Mountain full",6,18,03-MAR-97,13-MAR-97,23-MAR-97,15293,87295,29387,"TIG Welded",2,"Dwight Grimes","English",1,89097,59.2,42.3,71,73,2645.28,2640,158.4,"KY",70,486.8,1596
4256,712,"Race",14,60,12-OCT-97,27-OCT-97,10-NOV-97,89097,15293,89097,"TIG Welded",2,"Cheryl Owens","Roman",2,89097,58,41.2,74,73,4035.78,4030,201.5,"MI",70,852.8,2580
4257,613,"Road",13,47,23-NOV-97,08-DEC-97,21-DEC-97,29387,87295,29387,"Bonded",2,"Angie Meyer","Flash",1,51512,51.7,41.5,72.5,73.5,1802.23,1800,108,"TN",70,351.3,913
4258,1657,"Mountain",14,14.5,04-OCT-97,11-OCT-97,17-OCT-97,89097,76432,29387,"TIG Welded",2,"Charlotte Adkins","Script",2,34192,53.7,42.3,70.5,73.5,2327.76,2320,116,"OH",70,178.52,1596
4259,1055,"Mountain full",13,16.5,17-MAR-97,31-MAR-97,02-APR-97,29387,29387,12512,"Bonded",2,"Burt Oberhausen","Block",2,89097,58.2,42.3,70.5,73,2387.94,2380,119,"MI",70,236.95,1596
4260,587,"Mountain full",8,14.5,03-AUG-97,09-AUG-97,13-AUG-97,15293,51512,93736,"TIG Welded",2,"Rodney Tanner","Script",2,87295,53.7,42.3,70.5,73.5,1848.75,1840,73.6,"WY",70,139.47,1170
4261,1451,"Race",11,58,16-MAY-97,27-MAY-97,10-JUN-97,87295,51512,12512,"TIG Welded",2,"Louis Howell","Flash",2,46583,57,41.2,73.7,73,3477.52,3470,173.5,"OH",70,310.8,2580
4262,2804,"Road",10,47,05-MAR-97,12-MAR-97,21-MAR-97,29387,29387,87295,"TIG Welded",2,"Larry Hardcastle","Roman",2,29387,51.7,41.5,72.5,73.5,1813.29,1810,0,"OR",70,281.04,994
4263,1813,"Race",1,52,16-APR-97,19-APR-97,25-APR-97,15293,51512,89097,"Bonded",2,"Dorothy Kidd","Block",2,29387,52.7,40.7,72.5,75,2064.83,2060,175.1,"NY",70,525.25,994
4359,834,"Mountain full",3,14.5,22-NOV-97,03-DEC-97,17-DEC-97,87295,76432,89097,"TIG Welded",2,"Darrin Smith","Script",3980,89097,53.7,42.3,70.5,73.5,2316.26,2310,138.6,"KY",70,167.36,1596
4360,138,"Race",2,50,24-NOV-97,02-DEC-97,13-DEC-97,29387,37453,89097,"Bonded",2,"Tina Sexton","English",2,29387,53.1,40.7,72,75,3684.24,3680,220.8,"KY",70,511.5,2580
4361,1922,"Race",12,62,03-JUN-97,05-JUN-97,16-JUN-97,89097,51512,51512,"Bonded",2,"Leon Dennison","English",2,98766,59,41.2,74,72.5,3551.07,3550,177.5,"MI",70,382.2,2580
4362,2979,"Race",3,58,12-JUN-97,18-JUN-97,01-JUL-97,51512,37453,15293,"Bonded",2,"Raquel Hamilton","Script",2,87295,57,41.2,73.7,73,3562.89,3560,213.6,"NJ",70,393.68,2580
4363,1648,"Mountain full",7,16.5,24-MAR-97,27-MAR-97,04-APR-97,29387,76432,89097,"TIG Welded",2,"Grayson Howard","Script",2,89097,58.2,42.3,70.5,73,2989.41,2980,216.05,"CA",70,473.9,1943
4364,952,"Mountain full",8,16.5,14-JUL-97,21-JUL-97,01-AUG-97,29387,51512,12512,"Bonded",2,"Takao Reid","English",2,87295,58.2,42.3,70.5,73,2387.94,2380,172.55,"CA",70,236.95,1596
4365,413,"Mountain full",6,16.5,14-MAY-97,19-MAY-97,03-JUN-97,51512,76432,29387,"TIG Welded",2,"Preston Kinser","Block",2,46583,58.2,42.3,70.5,73,2965.01,2960,148,"MA",70,450.21,1943
4366,1188,"Race",9,56,22-FEB-97,28-FEB-97,10-MAR-97,87295,37453,87295,"TIG Welded",2,"Hugh Harper","Roman",2,87295,56,41,73.7,73.5,3396.43,3390,245.78,"CA",70,232.07,2580
4367,2241,"Race",2,54,07-JAN-97,14-JAN-97,22-JAN-97,87295,51512,29387,"TIG Welded",2,"Pierre Hammer","Flash",2,29387,54.5,41,73,74,2536.96,2530,126.5,"IN",70,225.63,1752
4368,2750,"Race",11,54,19-APR-97,21-APR-97,23-APR-97,87295,76432,89097,"Bonded",2,"Elwood Bowe","Flash",2,51512,54.5,41,73,74,3511.05,3510,210.6,"FL",70,343.35,2580
4369,1465,"Mountain",2,19.5,06-MAR-97,18-MAR-97,31-MAR-97,51512,15293,12512,"Bonded",2,"Hershel Allen","Roman",2,15293,59.3,42.3,71,73,2744.01,2740,232.9,"NY",70,235.65,1943
4370,364,"Mountain full",8,16.5,10-AUG-97,25-AUG-97,28-AUG-97,51512,76432,15293,"TIG Welded",2,"Jody Hagan","Roman",2,87295,58.2,42.3,70.5,73,2989.41,2980,186.25,"UT",70,473.9,1943
4371,976,"Mountain full",6,14.5,31-OCT-97,13-NOV-97,23-NOV-97,87295,37453,15293,"TIG Welded",2,"Christa Middleton","English",1,51512,53.7,42.3,70.5,73.5,2673.67,2670,193.58,"CA",70,167.36,1943
4372,2360,"Mountain full",13,16.5,03-JUL-97,17-JUL-97,28-JUL-97,87295,76432,15293,"TIG Welded",2,"Everett Alexander","Flash",2,46583,58.2,42.3,70.5,73,2641.63,2640,224.4,"NY",70,136.25,1943
4373,1929,"Mountain",2,16.5,05-APR-97,16-APR-97,24-APR-97,87295,51512,12512,"Bonded",2,"Alvie Nichols","English",2,87295,58.2,42.3,70.5,73,2733.14,2730,136.5,"MI",70,225.1,1943
4374,758,"Mountain full",2,14.5,22-MAR-97,04-APR-97,20-APR-97,87295,29387,15293,"TIG Welded",2,"Louis Price","Roman",2,89097,53.7,42.3,70.5,73.5,2276.04,2270,136.2,"KY",70,128.31,1596
4375,1620,"Race",3,54,08-AUG-97,13-AUG-97,18-AUG-97,87295,51512,87295,"Bonded",2,"Elaine Gamble","Roman",2,46583,54.5,41,73,74,2658.21,2650,225.25,"NY",70,343.35,1752
4376,2729,"Mountain",11,19.5,23-JUL-97,29-JUL-97,10-AUG-97,51512,87295,12512,"TIG Welded",2,"Cindy Hanes","English",2,15293,59.3,42.3,71,73,3012.27,3010,218.23,"CA",70,496.1,1943
4377,684,"Mountain",3,19.5,20-APR-97,23-APR-97,04-MAY-97,51512,76432,51512,"TIG Welded",2,"Richard Baker","Flash",2,51512,59.3,42.3,71,73,2348.27,2340,140.4,"TN",70,198.44,1596
4378,1455,"Mountain full",1,21,27-FEB-97,28-FEB-97,02-MAR-97,87295,89097,89097,"Bonded",2,"Leslie Wade","Script",2,34192,59.8,42.4,71,73,2405.4,2400,0,"AR",70,253.9,1596
4379,1326,"Race",11,54,10-SEP-97,16-SEP-97,26-SEP-97,87295,29387,51512,"Bonded",2,"Jackie Francis","Flash",2,89097,54.5,41,73,74,3561.57,3560,222.5,"UT",70,392.4,2580
4380,2010,"Race",9,56,14-JAN-97,16-JAN-97,24-JAN-97,89097,76432,89097,"TIG Welded",2,"April Warden","English",2,98766,56,41,73.7,73.5,1772.96,1770,110.63,"TX",70,322.88,913
4381,250,"Mountain full",2,19.5,16-OCT-97,23-OCT-97,02-NOV-97,51512,51512,15293,"Bonded",2,"Clive Goad","Flash",2,51512,59.3,42.3,71,73,2056.4,2050,102.5,"MD",70,341.07,1170
4382,1238,"Race",14,50,08-OCT-97,17-OCT-97,23-OCT-97,29387,87295,87295,"Bonded",2,"Artie Gilliam","Roman",2,98766,53.1,40.7,72,75,3540.56,3540,256.65,"CA",70,372,2580
4383,1891,"Race",6,60,01-MAR-97,07-MAR-97,11-MAR-97,29387,76432,29387,"Welded",2,"Marion Cherry","Roman",2,29387,58,41.2,74,73,2524.16,2520,151.2,"FL",70,213.2,1752
4384,2392,"Mountain",3,18,16-JAN-97,31-JAN-97,14-FEB-97,87295,89097,93736,"TIG Welded",2,"Cora Moseley","Roman",2,34192,59.2,42.3,71,73,2676.78,2670,120.15,"VA",70,170.38,1943
4385,767,"Mountain full",14,16.5,04-JUN-97,16-JUN-97,20-JUN-97,87295,51512,87295,"TIG Welded",2,"Horace Katchak","Flash",2,29387,58.2,42.3,70.5,73,2696.54,2690,168.13,"TX",70,189.56,1943
4386,1052,"Race",2,52,23-MAR-97,01-APR-97,11-APR-97,87295,51512,51512,"Bonded",2,"Fred Pennington","Roman",1,98766,52.7,40.7,72.5,75,2845.57,2840,241.4,"NY",70,525.25,1752
4387,3039,"Mountain",8,18,18-FEB-97,20-FEB-97,01-MAR-97,15293,76432,93736,"Welded",2,"Tom Cherry","Flash",2,46583,59.2,42.3,71,73,2269.23,2260,163.85,"CA",70,121.7,1596
4388,1791,"Race",7,52,26-APR-97,12-MAY-97,23-MAY-97,29387,87295,89097,"TIG Welded",2,"Claudia Hood","Flash",2,89097,52.7,40.7,72.5,75,1735.49,1730,112.45,"MN",70,286.5,913
4389,1597,"Mountain",14,19.5,08-SEP-97,18-SEP-97,29-SEP-97,15293,15293,12512,"TIG Welded",2,"Brian Donaldson","Roman",1572,51512,59.3,42.3,71,73,2290.79,2290,194.65,"NY",70,142.63,1596
4390,1141,"Mountain full",11,19.5,24-MAR-97,01-APR-97,13-APR-97,15293,76432,51512,"Bonded",2,"Tony Henson","Flash",2,51512,59.3,42.3,71,73,2724.84,2720,163.2,"FL",70,217.04,1943
4391,1588,"Mountain full",5,19.5,12-JAN-97,15-JAN-97,17-JAN-97,89097,51512,15293,"TIG Welded",2,"Louis Cherry","Roman",1,51512,59.3,42.3,71,73,2986.73,2980,253.3,"NY",70,471.3,1943
4392,1181,"Mountain full",8,16.5,02-JAN-97,16-JAN-97,25-JAN-97,29387,76432,51512,"TIG Welded",2,"Stephanie Patterson","Flash",2,89097,58.2,42.3,70.5,73,2641.63,2640,165,"TX",70,136.25,1943
4393,2240,"Mountain",6,21,05-AUG-97,19-AUG-97,21-AUG-97,89097,29387,87295,"TIG Welded",2,"Clinton Phelps","Flash",2,46583,59.8,42.4,71,73,2651.66,2650,192.13,"CA",70,145.99,1943
4394,1766,"Road",10,60,27-MAY-97,07-JUN-97,09-JUN-97,89097,87295,29387,"Bonded",2,"Preston Hopkins","English",1,46583,57,41.5,73.5,73.5,1963.63,1960,98,"AZ",70,427,994
